"","SERIALNO","PUMA","PWGTP","AGEP","SEX","WAGP"
0,2011000000602,2100,4,55,1,90000
1,2011000000602,2100,5,49,2,90000
2,2011000001742,2100,8,18,1,9600
3,2011000003093,2100,19,55,1,70000
4,2011000003093,2100,19,53,2,30000
5,2011000003093,2100,21,11,2,0
6,2011000003093,2100,18,14,1,0
7,2011000004688,2100,23,94,2,0
8,2011000005560,2100,13,29,1,0
9,2011000005560,2100,20,25,2,21000
10,2011000005560,2100,44,24,1,12000
11,2011000005560,2100,15,23,2,5300
12,2011000005614,2100,4,73,1,1600
13,2011000006833,2100,5,39,2,41100
14,2011000006833,2100,5,39,1,78000
15,2011000007132,2100,18,32,2,25000
16,2011000008238,2100,2,68,1,0
17,2011000008238,2100,2,58,2,19000
18,2011000008273,2100,27,35,2,900
19,2011000008273,2100,37,16,2,0
20,2011000008273,2100,18,11,2,0
21,2011000008273,2100,19,9,1,0
22,2011000008273,2100,18,9,1,0
23,2011000008273,2100,26,4,2,0
24,2011000008462,2100,5,80,2,0
25,2011000010923,2100,4,56,1,32000
26,2011000010923,2100,4,50,2,0
27,2011000010923,2100,5,14,1,0
28,2011000011408,2100,12,38,2,13800
29,2011000011408,2100,15,16,2,0
30,2011000011408,2100,10,0,2,0
31,2011000014238,2100,19,23,1,19000
32,2011000016858,2100,25,22,2,4000
33,2011000016858,2100,36,22,2,0
34,2011000016858,2100,58,22,1,3000
35,2011000016858,2100,36,22,2,0
36,2011000018598,2100,17,64,1,0
37,2011000018749,2100,28,79,1,0
38,2011000018749,2100,29,80,2,0
39,2011000019061,2100,36,45,2,0
40,2011000026513,2100,52,24,2,15000
41,2011000026513,2100,53,25,1,12000
42,2011000027837,2100,9,26,1,20000
43,2011000027837,2100,18,28,2,20000
44,2011000028406,2100,24,24,2,29000
45,2011000028406,2100,14,8,1,0
46,2011000028406,2100,14,5,2,0
47,2011000029859,2100,27,59,2,16700
48,2011000029859,2100,46,36,2,47400
49,2011000030266,2100,16,49,2,20000
50,2011000030266,2100,18,22,2,3500
51,2011000030266,2100,32,19,2,4000
52,2011000030857,2100,11,71,2,0
53,2011000033764,2100,3,61,1,45000
54,2011000033764,2100,3,65,2,0
55,2011000039043,2100,5,38,1,120000
56,2011000039043,2100,5,37,2,24000
57,2011000039043,2100,4,13,2,0
58,2011000039043,2100,4,10,2,0
59,2011000039043,2100,4,5,2,0
60,2011000042949,2100,17,18,2,2500
61,2011000044052,2100,8,20,2,5000
62,2011000044893,2100,14,19,1,2500
63,2011000045334,2100,11,44,1,42000
64,2011000045334,2100,14,42,2,43000
65,2011000046989,2100,18,25,2,20000
66,2011000046989,2100,24,7,2,0
67,2011000046989,2100,25,1,1,0
68,2011000049896,2100,19,20,2,6000
69,2011000050450,2100,15,63,2,0
70,2011000050450,2100,17,63,1,480
71,2011000051057,2100,23,46,2,28000
72,2011000051057,2100,23,47,1,70000
73,2011000051057,2100,22,14,2,0
74,2011000051402,2100,67,21,1,0
75,2011000052976,2100,2,28,1,7500
76,2011000055522,2100,4,59,1,60000
77,2011000055522,2100,3,60,2,37000
78,2011000055522,2100,4,26,2,13200
79,2011000057583,2100,13,30,1,32000
80,2011000059646,2100,39,42,1,48000
81,2011000059646,2100,15,13,2,0
82,2011000062951,2100,11,20,1,400
83,2011000065489,2100,4,39,1,14000
84,2011000065489,2100,5,37,2,25000
85,2011000065489,2100,5,9,2,0
86,2011000065489,2100,5,7,2,0
87,2011000065489,2100,5,5,2,0
88,2011000068141,2100,26,7,1,0
89,2011000068471,2100,13,49,1,145000
90,2011000068471,2100,10,50,2,60000
91,2011000068471,2100,12,13,2,0
92,2011000068471,2100,14,10,1,0
93,2011000070620,2100,14,22,2,65000
94,2011000070620,2100,19,21,2,7000
95,2011000070620,2100,18,20,2,3500
96,2011000071569,2100,15,20,1,0
97,2011000071974,2100,5,20,2,950
98,2011000072351,2100,25,39,1,60000
99,2011000072351,2100,29,36,2,0
100,2011000072599,2100,94,43,1,0
101,2011000072599,2100,87,52,2,48000
102,2011000073691,2100,6,73,1,0
103,2011000073691,2100,6,67,2,0
104,2011000077754,2100,35,41,1,43000
105,2011000077754,2100,20,33,2,5000
106,2011000077754,2100,21,3,2,0
107,2011000079997,2100,16,34,2,106000
108,2011000080675,2100,12,19,1,1500
109,2011000082496,2100,18,38,2,24000
110,2011000082496,2100,17,6,1,0
111,2011000084748,2100,5,57,1,38000
112,2011000084748,2100,6,49,2,46200
113,2011000085061,2100,28,44,1,72000
114,2011000085061,2100,33,40,2,13700
115,2011000085061,2100,32,12,1,0
116,2011000085061,2100,32,9,1,0
117,2011000085386,2100,22,30,1,50000
118,2011000085386,2100,21,30,2,0
119,2011000085996,2100,14,20,1,2000
120,2011000088478,2100,6,47,2,60000
121,2011000088478,2100,6,45,1,18000
122,2011000088478,2100,6,9,2,0
123,2011000088478,2100,6,8,1,0
124,2011000088586,2100,20,37,2,60000
125,2011000088586,2100,35,39,1,90000
126,2011000089359,2100,9,47,1,160000
127,2011000089359,2100,8,54,2,125000
128,2011000089359,2100,11,22,2,10000
129,2011000089769,2100,4,86,2,0
130,2011000092131,2100,11,21,2,4500
131,2011000092131,2100,16,21,2,2600
132,2011000093204,2100,29,31,1,24000
133,2011000093411,2100,15,21,1,2000
134,2011000094463,2100,22,50,2,60000
135,2011000094463,2100,26,51,1,74000
136,2011000094748,2100,8,22,2,1500
137,2011000096949,2100,21,49,2,0
138,2011000096949,2100,19,38,1,78000
139,2011000100835,2100,14,33,1,22000
140,2011000101153,2100,5,68,1,27600
141,2011000101153,2100,4,36,2,42700
142,2011000101635,2100,18,71,2,0
143,2011000102156,2100,11,60,1,1e+05
144,2011000102156,2100,12,58,2,60000
145,2011000104567,2100,41,37,1,80
146,2011000105098,2100,22,31,1,20000
147,2011000105098,2100,16,26,2,5000
148,2011000105098,2100,23,8,1,0
149,2011000105098,2100,23,4,1,0
150,2011000105098,2100,23,14,1,0
151,2011000106280,2100,21,24,1,35000
152,2011000106818,2100,16,20,1,5200
153,2011000107552,2100,18,35,2,65000
154,2011000107552,2100,20,10,1,0
155,2011000109395,2100,4,36,2,0
156,2011000109395,2100,3,15,2,0
157,2011000109395,2100,3,13,1,0
158,2011000109803,2100,61,24,1,43000
159,2011000110194,2100,9,72,2,0
160,2011000110745,2100,24,36,2,54000
161,2011000110745,2100,21,40,1,46200
162,2011000110745,2100,18,5,1,0
163,2011000113571,2100,5,35,1,20000
164,2011000113571,2100,4,33,2,0
165,2011000113571,2100,6,5,2,0
166,2011000113806,2100,16,53,2,66000
167,2011000113806,2100,17,60,1,15000
168,2011000114531,2100,20,33,2,0
169,2011000114531,2100,30,15,1,0
170,2011000114531,2100,15,13,1,0
171,2011000120045,2100,11,66,2,34000
172,2011000121588,2100,51,36,1,12000
173,2011000124207,2100,9,80,2,0
174,2011000125240,2100,13,63,2,0
175,2011000125240,2100,17,67,1,0
176,2011000126361,2100,22,35,2,70000
177,2011000129244,2100,18,20,1,0
178,2011000129655,2100,13,19,1,3000
179,2011000130925,2100,25,83,2,0
180,2011000131838,2100,13,20,2,2000
181,2011000132344,2100,20,36,1,38000
182,2011000132344,2100,21,31,2,10000
183,2011000132344,2100,16,9,1,0
184,2011000132344,2100,24,5,1,0
185,2011000132344,2100,22,11,2,0
186,2011000136656,2100,95,23,2,0
187,2011000136656,2100,76,4,2,0
188,2011000136656,2100,77,1,2,0
189,2011000136941,2100,6,46,1,26000
190,2011000136941,2100,7,44,2,50000
191,2011000136941,2100,6,5,1,0
192,2011000138058,2100,21,70,1,10600
193,2011000138058,2100,21,69,2,0
194,2011000138303,2100,17,47,2,67000
195,2011000139699,2100,16,85,2,0
196,2011000139699,2100,23,36,1,8100
197,2011000140235,2100,12,49,1,105000
198,2011000140235,2100,13,49,2,30000
199,2011000140235,2100,16,24,1,30000
200,2011000140235,2100,16,20,2,1500
201,2011000140235,2100,12,17,2,1000
202,2011000140963,2100,27,36,2,18200
