,tract,serial_number,repeat_index,num_people,household_income,num_vehicles
0,200,4160,0,2,40000+,2
1,200,5127,0,2,<=40000,3
2,200,6361,0,3,<=40000,2
3,200,9650,0,3,40000+,2
4,200,20106,0,1,40000+,1
5,200,20106,1,1,40000+,1
6,200,20106,2,1,<=40000,2
7,200,20982,0,1,<=40000,1
8,200,21543,0,1,40000+,1
9,200,23099,0,2,40000+,0
10,200,27883,0,1,<=40000,1
11,200,33713,0,3,<=40000,2
12,200,36288,0,1,<=40000,1
13,200,39846,0,3,<=40000,1
14,200,40211,0,2,<=40000,2
15,200,42106,0,4+,40000+,2
16,200,42463,0,2,40000+,2
17,200,43630,0,4+,40000+,2
18,200,43630,1,4+,40000+,2
19,200,43630,2,4+,40000+,2
20,200,44432,0,2,40000+,2
21,200,44432,1,2,40000+,2
22,200,44457,0,2,<=40000,1
23,200,47980,0,3,<=40000,2
24,200,48923,0,2,<=40000,2
25,200,51048,0,1,40000+,0
26,200,52384,0,1,40000+,1
27,200,59021,0,2,<=40000,2
28,200,63638,0,1,<=40000,1
29,200,66024,0,3,<=40000,2
30,200,66024,1,3,40000+,0
31,200,69060,0,1,<=40000,0
32,200,71119,0,3,40000+,2
33,200,71119,1,3,<=40000,1
34,200,71170,0,1,40000+,1
35,200,71372,0,4+,40000+,2
36,200,76093,0,2,40000+,2
37,200,82179,0,3,40000+,2
38,200,83228,0,3,40000+,1
39,200,83528,0,1,<=40000,1
40,200,86079,0,3,40000+,0
41,200,86859,0,1,<=40000,1
42,200,95107,0,1,<=40000,2
43,200,106765,0,2,<=40000,0
44,200,107422,0,1,<=40000,1
45,200,108810,0,1,40000+,1
46,200,116333,0,2,40000+,2
47,200,116883,0,2,40000+,1
48,200,117084,0,1,<=40000,1
49,200,117084,1,1,40000+,1
50,200,117084,2,1,<=40000,0
51,200,117084,3,1,<=40000,1
52,200,117084,4,1,40000+,0
53,200,118559,0,1,<=40000,1
54,200,118777,0,3,40000+,1
55,200,123270,0,1,<=40000,0
56,200,123698,0,2,40000+,1
57,200,127747,0,3,40000+,2
58,200,127747,1,3,<=40000,4
59,200,127747,2,3,40000+,2
60,200,127747,3,3,40000+,2
61,200,129304,0,4+,40000+,1
62,200,130672,0,1,<=40000,0
63,200,130672,1,1,<=40000,2
64,200,131339,0,4+,<=40000,2
65,200,133863,0,3,40000+,2
66,200,134100,0,2,40000+,2
67,200,134100,1,2,<=40000,2
68,200,134502,0,2,<=40000,3
69,200,142724,0,1,<=40000,1
70,200,142766,0,2,40000+,2
71,200,144233,0,1,<=40000,1
72,200,144233,1,1,40000+,0
73,200,144233,2,1,40000+,1
74,200,145383,0,1,<=40000,1
75,200,146548,0,1,40000+,0
76,200,150284,0,2,40000+,1
77,200,153695,0,2,40000+,2
78,200,153812,0,1,<=40000,0
79,200,157027,0,1,<=40000,0
80,200,157979,0,2,40000+,2
81,200,157979,1,2,40000+,2
82,200,158689,0,2,40000+,2
83,200,162632,0,1,<=40000,1
84,200,167548,0,1,40000+,1
85,200,168020,0,3,40000+,0
86,200,170356,0,1,<=40000,0
87,200,170356,1,1,40000+,1
88,200,170860,0,1,40000+,1
89,200,171506,0,1,<=40000,1
90,200,171506,1,1,<=40000,2
91,200,171887,0,2,40000+,2
92,200,171898,0,2,40000+,2
93,200,172264,0,1,<=40000,0
94,200,172264,1,1,40000+,1
95,200,178963,0,1,<=40000,1
96,200,181550,0,1,<=40000,1
97,200,182811,0,2,<=40000,3
98,200,186113,0,2,40000+,2
99,200,186113,1,2,<=40000,2
100,200,188868,0,2,40000+,3
101,200,189300,0,1,40000+,1
102,200,192835,0,1,40000+,1
103,200,196158,0,1,<=40000,1
104,200,198161,0,3,<=40000,2
105,200,199289,0,2,40000+,1
106,200,203540,0,2,40000+,2
107,200,206110,0,2,40000+,4
108,200,206579,0,2,40000+,2
109,200,213351,0,1,<=40000,1
110,200,216227,0,1,<=40000,1
111,200,216227,1,1,<=40000,1
112,200,220073,0,4+,40000+,2
113,200,223638,0,4+,40000+,1
114,200,223638,1,4+,<=40000,2
115,200,223696,0,1,<=40000,0
116,200,223696,1,1,40000+,1
117,200,223696,2,1,<=40000,1
118,200,225804,0,1,<=40000,1
119,200,228318,0,1,40000+,0
120,200,228318,1,1,<=40000,0
121,200,230840,0,1,<=40000,1
122,200,233685,0,2,40000+,2
123,200,239250,0,1,<=40000,1
124,200,241584,0,4+,40000+,3
125,200,246208,0,2,<=40000,2
126,200,253228,0,2,<=40000,0
127,200,254183,0,1,<=40000,1
128,200,257091,0,2,40000+,2
129,200,260128,0,2,40000+,2
130,200,260313,0,2,<=40000,1
131,200,263374,0,1,<=40000,1
132,200,263374,1,1,<=40000,2
133,200,264534,0,1,<=40000,0
134,200,265105,0,1,<=40000,1
135,200,265591,0,3,40000+,3
136,200,266711,0,1,<=40000,1
137,200,266711,1,1,<=40000,1
138,200,266711,2,1,40000+,2
139,200,268869,0,1,<=40000,1
140,200,268869,1,1,<=40000,1
141,200,269326,0,2,40000+,0
142,200,271180,0,1,40000+,1
143,200,277512,0,2,<=40000,0
144,200,279014,0,2,<=40000,2
145,200,280792,0,1,<=40000,0
146,200,287937,0,1,<=40000,1
147,200,287937,1,1,<=40000,1
148,200,288424,0,1,40000+,0
149,200,290659,0,1,<=40000,1
150,200,292903,0,3,40000+,3
151,200,294516,0,2,<=40000,1
152,200,297143,0,2,40000+,3
153,200,297763,0,1,<=40000,1
154,200,298917,0,4+,40000+,2
155,200,303489,0,2,40000+,2
156,200,303873,0,3,40000+,2
157,200,303873,1,3,<=40000,2
158,200,307361,0,3,40000+,2
159,200,307361,1,3,<=40000,2
160,200,309189,0,2,<=40000,2
161,200,310636,0,1,40000+,1
162,200,314471,0,3,<=40000,2
163,200,315614,0,2,40000+,2
164,200,315961,0,1,<=40000,0
165,200,315978,0,2,40000+,1
166,200,317985,0,1,<=40000,1
167,200,318143,0,3,<=40000,4
168,200,320009,0,1,<=40000,1
169,200,321210,0,1,40000+,0
170,200,321210,1,1,<=40000,1
171,200,324463,0,4+,40000+,3
172,200,326686,0,3,<=40000,3
173,200,329382,0,1,40000+,1
174,200,330585,0,3,<=40000,0
175,200,333032,0,2,40000+,1
176,200,333032,1,2,40000+,3
177,200,333032,2,2,40000+,2
178,200,333032,3,2,<=40000,1
179,200,336156,0,1,<=40000,1
180,200,336156,1,1,40000+,1
181,200,337489,0,1,<=40000,0
182,200,340470,0,4+,40000+,1
183,200,341143,0,2,<=40000,2
184,200,343541,0,1,<=40000,0
185,200,348174,0,1,40000+,1
186,200,354617,0,2,<=40000,2
187,200,357704,0,4+,40000+,2
188,200,357704,1,4+,<=40000,1
189,200,358359,0,2,40000+,2
190,200,360674,0,2,40000+,1
191,200,360674,1,2,40000+,2
192,200,362726,0,1,40000+,1
193,200,362726,1,1,40000+,0
194,200,370661,0,3,40000+,2
195,200,373251,0,1,<=40000,0
196,200,377007,0,1,40000+,1
197,200,377673,0,2,40000+,3
198,200,377673,1,2,40000+,3
199,200,384245,0,3,<=40000,2
200,200,385403,0,2,<=40000,2
201,200,388944,0,2,<=40000,0
202,200,392450,0,2,40000+,2
203,200,393625,0,1,40000+,0
204,200,393625,1,1,<=40000,0
205,200,393625,2,1,<=40000,1
206,200,399936,0,2,40000+,2
207,200,400912,0,1,<=40000,2
208,200,411786,0,1,40000+,1
209,200,411786,1,1,<=40000,1
210,200,413864,0,1,40000+,1
211,200,414972,0,2,<=40000,1
212,200,419137,0,1,<=40000,0
213,200,424048,0,2,40000+,1
214,200,425510,0,1,<=40000,1
215,200,425510,1,1,<=40000,0
216,200,428254,0,2,40000+,2
217,200,434519,0,1,40000+,1
218,200,434519,1,1,<=40000,1
219,200,436245,0,3,<=40000,3
220,200,436269,0,1,40000+,0
221,200,442724,0,1,40000+,1
222,200,442724,1,1,40000+,1
223,200,442724,2,1,<=40000,1
224,200,443150,0,2,40000+,2
225,200,445086,0,4+,40000+,4
226,200,447197,0,2,40000+,4
227,200,448826,0,2,40000+,3
228,200,449628,0,1,<=40000,1
229,200,449628,1,1,<=40000,0
230,200,450969,0,2,40000+,1
231,200,453410,0,2,40000+,2
232,200,453937,0,2,<=40000,1
233,200,460912,0,1,<=40000,1
234,200,461037,0,2,40000+,3
235,200,461705,0,2,<=40000,2
236,200,463150,0,2,40000+,1
237,200,463290,0,1,<=40000,0
238,200,463290,1,1,<=40000,1
239,200,463681,0,1,40000+,1
240,200,463837,0,1,<=40000,0
241,200,464640,0,3,40000+,1
242,200,472881,0,2,40000+,0
243,200,476916,0,2,<=40000,2
244,200,481977,0,4+,<=40000,2
245,200,482826,0,2,<=40000,1
246,200,484128,0,4+,40000+,2
247,200,484128,1,4+,40000+,2
248,200,485732,0,2,40000+,2
249,200,487602,0,3,40000+,2
250,200,488081,0,4+,<=40000,3
251,200,493685,0,2,40000+,0
252,200,496415,0,2,40000+,2
253,200,497189,0,1,<=40000,0
254,200,497189,1,1,<=40000,1
255,200,497189,2,1,<=40000,1
256,200,498716,0,2,40000+,1
257,200,499860,0,2,40000+,2
258,200,507397,0,4+,40000+,2
259,200,514969,0,1,<=40000,1
260,200,530937,0,1,<=40000,1
261,200,532448,0,2,40000+,2
262,200,532734,0,1,<=40000,1
263,200,533711,0,3,<=40000,2
264,200,539778,0,2,<=40000,0
265,200,540133,0,3,40000+,2
266,200,540133,1,3,40000+,0
267,200,540133,2,3,40000+,1
268,200,545191,0,3,<=40000,0
269,200,546108,0,2,40000+,1
270,200,546108,1,2,40000+,2
271,200,548615,0,1,40000+,1
272,200,548615,1,1,40000+,1
273,200,548615,2,1,40000+,0
274,200,548615,3,1,40000+,1
275,200,549655,0,3,<=40000,2
276,200,551233,0,4+,<=40000,2
277,200,552885,0,2,<=40000,1
278,200,555622,0,2,<=40000,1
