,tract,serial_number,repeat_index,age,sex,individual_income
0,200,2010000003705,0,18-34,M,0-20000
1,301,2010000003705,0,18-34,M,<=0
2,302,2010000003705,0,18-34,M,0-20000
3,401,2010000003705,0,18-34,M,0-20000
4,402,2010000003705,0,18-34,M,40000-80000
5,500,2010000003705,0,18-34,M,<=0
6,700,2010000003705,0,18-34,M,<=0
7,800,2010000003705,0,18-34,M,0-20000
8,901,2010000003705,0,18-34,M,0-20000
9,902,2010000003705,0,18-34,M,0-20000
10,902,2010000003705,1,18-34,M,0-20000
11,1000,2010000003705,0,18-34,M,80000-100000
12,1100,2010000003705,0,18-34,M,0-20000
13,1201,2010000003705,0,18-34,M,0-20000
14,1201,2010000003705,1,18-34,M,0-20000
15,1203,2010000003705,0,18-34,M,0-20000
16,1204,2010000003705,0,18-34,M,20000-40000
17,1205,2010000003705,0,18-34,M,<=0
18,1205,2010000003705,1,18-34,M,40000-80000
19,1206,2010000003705,0,18-34,M,0-20000
20,1301,2010000003705,0,18-34,M,<=0
21,1301,2010000003705,1,18-34,M,20000-40000
22,1302,2010000003705,0,18-34,M,<=0
23,1400,2010000003705,0,18-34,M,40000-80000
24,5300,2010000003705,0,18-34,M,0-20000
25,5401,2010000003705,0,18-34,M,20000-40000
26,5402,2010000003705,0,18-34,M,0-20000
27,5500,2010000003705,0,18-34,M,<=0
28,5600,2010000003705,0,18-34,M,0-20000
29,5600,2010000003705,1,18-34,M,0-20000
30,5701,2010000003705,0,18-34,M,0-20000
31,5702,2010000003705,0,18-34,M,0-20000
32,5800,2010000003705,0,18-34,M,0-20000
33,5900,2010000003705,0,18-34,M,0-20000
34,6000,2010000003705,0,18-34,M,<=0
35,10100,2010000003705,0,18-34,M,0-20000
36,10204,2010000003705,0,18-34,M,40000-80000
37,10300,2010000003705,0,18-34,M,20000-40000
38,10400,2010000003705,0,18-34,M,<=0
39,10500,2010000003705,0,18-34,M,0-20000
40,10601,2010000003705,0,18-34,M,20000-40000
41,10603,2010000003705,0,18-34,M,<=0
42,10603,2010000003705,1,18-34,M,0-20000
43,10604,2010000003705,0,18-34,M,0-20000
44,10700,2010000003705,0,18-34,M,0-20000
45,10700,2010000003705,1,18-34,M,<=0
46,10800,2010000003705,0,18-34,M,0-20000
47,10900,2010000003705,0,18-34,M,0-20000
48,10900,2010000003705,1,18-34,M,20000-40000
49,11000,2010000003705,0,18-34,M,<=0
50,11100,2010000003705,0,18-34,M,<=0
51,200,2010000003705,0,18-34,M,<=0
52,301,2010000003705,0,18-34,M,0-20000
53,302,2010000003705,0,18-34,M,0-20000
54,401,2010000003705,0,18-34,M,<=0
55,402,2010000003705,0,18-34,M,<=0
56,500,2010000003705,0,18-34,M,<=0
57,700,2010000003705,0,18-34,M,0-20000
58,800,2010000003705,0,18-34,M,0-20000
59,901,2010000003705,0,18-34,M,0-20000
60,902,2010000003705,0,18-34,M,<=0
61,902,2010000003705,1,18-34,M,20000-40000
62,1000,2010000003705,0,18-34,M,0-20000
63,1100,2010000003705,0,18-34,M,40000-80000
64,1201,2010000003705,0,18-34,M,0-20000
65,1201,2010000003705,1,18-34,M,0-20000
66,1203,2010000003705,0,18-34,M,0-20000
67,1204,2010000003705,0,18-34,M,0-20000
68,1205,2010000003705,0,18-34,M,0-20000
69,1205,2010000003705,1,18-34,M,0-20000
70,1206,2010000003705,0,18-34,M,<=0
71,1301,2010000003705,0,18-34,M,0-20000
72,1301,2010000003705,1,18-34,M,<=0
73,1302,2010000003705,0,18-34,M,40000-80000
74,1400,2010000003705,0,18-34,M,0-20000
75,5300,2010000003705,0,18-34,M,0-20000
76,5401,2010000003705,0,18-34,M,0-20000
77,5402,2010000003705,0,18-34,M,<=0
78,5500,2010000003705,0,18-34,M,40000-80000
79,5600,2010000003705,0,18-34,M,0-20000
80,5600,2010000003705,1,18-34,M,<=0
81,5701,2010000003705,0,18-34,M,0-20000
82,5702,2010000003705,0,18-34,M,0-20000
83,5800,2010000003705,0,18-34,M,<=0
84,5900,2010000003705,0,18-34,M,0-20000
85,6000,2010000003705,0,18-34,M,0-20000
86,10100,2010000003705,0,18-34,M,20000-40000
87,10204,2010000003705,0,18-34,M,<=0
