,tract,serial_number,repeat_index,num_people,household_income,num_vehicles
0,200,2011000004688,0,1,<=40000,1
1,200,2011000008273,0,4+,40000+,1
2,200,2011000018749,0,2,40000+,1
3,200,2011000019061,0,1,40000+,1
4,200,2011000026513,0,2,40000+,1
5,200,2011000028406,0,3,40000+,2
6,200,2011000029859,0,2,40000+,1
7,200,2011000051057,0,3,40000+,2
8,200,2011000051402,0,1,<=40000,1
9,200,2011000059646,0,2,<=40000,1
10,200,2011000072351,0,2,<=40000,3
11,200,2011000072599,0,2,40000+,2
12,200,2011000072599,1,2,<=40000,2
13,200,2011000077754,0,3,<=40000,1
14,200,2011000085061,0,4+,40000+,3
15,200,2011000085386,0,2,40000+,1
16,200,2011000093204,0,1,<=40000,1
17,200,2011000094463,0,2,<=40000,1
18,200,2011000104567,0,1,<=40000,2
19,200,2011000109803,0,1,40000+,2
20,200,2011000110745,0,3,<=40000,2
21,200,2011000114531,0,3,<=40000,1
22,200,2011000121588,0,1,<=40000,1
23,200,2011000130925,0,1,40000+,2
24,200,2011000136656,0,3,<=40000,2
25,200,2011000136656,1,3,40000+,1
26,200,2011000138058,0,2,<=40000,1
27,200,2011000140963,0,4+,40000+,4
28,200,2011000176669,0,1,<=40000,0
29,200,2011000191795,0,2,40000+,1
30,200,2011000198546,0,4+,40000+,2
31,200,2011000198638,0,3,<=40000,2
32,200,2011000204305,0,1,40000+,2
33,200,2011000205207,0,3,40000+,3
34,200,2011000208640,0,2,40000+,0
35,200,2011000209512,0,2,<=40000,1
36,200,2011000217890,0,2,<=40000,2
37,200,2011000220609,0,2,<=40000,1
38,200,2011000222629,0,2,<=40000,2
39,200,2011000241870,0,1,<=40000,1
40,200,2011000243335,0,1,<=40000,1
41,200,2011000272704,0,1,40000+,2
42,200,2011000275055,0,2,40000+,4
43,200,2011000276055,0,1,40000+,1
44,200,2011000283505,0,3,40000+,1
45,200,2011000295450,0,2,<=40000,2
46,200,2011000296628,0,1,<=40000,0
47,200,2011000298551,0,3,<=40000,1
48,200,2011000309019,0,2,40000+,1
49,200,2011000325882,0,1,40000+,2
50,200,2011000331718,0,1,<=40000,2
51,200,2011000339820,0,2,40000+,1
52,200,2011000340238,0,1,40000+,1
53,200,2011000342953,0,2,40000+,2
54,200,2011000344420,0,1,40000+,0
55,200,2011000345262,0,1,<=40000,1
56,200,2011000345583,0,1,<=40000,2
57,200,2011000348233,0,1,<=40000,0
58,200,2011000356572,0,3,<=40000,2
59,200,2011000360797,0,4+,40000+,4
60,200,2011000365617,0,3,<=40000,3
61,200,2011000365995,0,1,40000+,1
62,200,2011000381707,0,3,40000+,1
63,200,2011000381707,1,3,<=40000,2
64,200,2011000394685,0,1,<=40000,0
65,200,2011000405756,0,1,<=40000,1
66,200,2011000410423,0,1,<=40000,1
67,200,2011000424268,0,1,<=40000,1
68,200,2011000431883,0,4+,40000+,2
69,200,2011000437374,0,3,<=40000,2
70,200,2011000443740,0,2,40000+,2
71,200,2011000445964,0,1,<=40000,1
72,200,2011000449938,0,1,<=40000,2
73,200,2011000457744,0,4+,<=40000,3
74,200,2011000458887,0,2,<=40000,2
75,200,2011000461045,0,1,<=40000,1
76,200,2011000466380,0,2,40000+,2
77,200,2011000467313,0,3,<=40000,1
78,200,2011000470426,0,3,<=40000,3
79,200,2011000470426,1,3,40000+,3
80,200,2011000475032,0,4+,40000+,1
81,200,2011000476641,0,1,<=40000,0
82,200,2011000488148,0,4+,<=40000,2
83,200,2011000489854,0,1,<=40000,1
84,200,2011000501587,0,1,40000+,2
85,200,2011000506382,0,3,40000+,1
86,200,2011000523960,0,2,<=40000,2
87,200,2011000523960,1,2,40000+,2
88,200,2011000527063,0,1,<=40000,1
89,200,2011000544832,0,3,<=40000,2
90,200,2011000547019,0,2,<=40000,0
91,200,2011000550791,0,3,40000+,3
92,200,2011000555346,0,3,<=40000,2
93,200,2011000555895,0,3,40000+,2
94,200,2011000571156,0,2,40000+,2
95,200,2011000577103,0,2,<=40000,3
96,200,2011000579413,0,2,<=40000,2
97,200,2011000583228,0,4+,<=40000,2
98,200,2011000587507,0,2,40000+,2
99,200,2011000588373,0,3,<=40000,2
100,200,2011000590285,0,2,40000+,2
101,200,2011000598358,0,2,40000+,2
102,200,2011000607503,0,3,<=40000,2
103,200,2011000609566,0,3,<=40000,2
104,200,2011000610536,0,4+,40000+,3
105,200,2011000612321,0,2,<=40000,2
106,200,2011000612838,0,1,<=40000,1
107,200,2011000616706,0,4+,<=40000,3
108,200,2011000618132,0,2,40000+,3
109,200,2011000619327,0,2,<=40000,1
110,200,2011000629593,0,1,<=40000,0
111,200,2011000632313,0,3,<=40000,3
112,200,2011000633346,0,2,<=40000,2
113,200,2011000634625,0,2,<=40000,1
114,200,2011000638243,0,3,40000+,2
115,200,2011000648042,0,2,40000+,4
116,200,2011000652937,0,1,<=40000,1
117,200,2011000661472,0,2,<=40000,2
118,200,2011000664817,0,3,<=40000,1
119,200,2011000675688,0,1,<=40000,0
120,200,2011000683266,0,2,40000+,1
121,200,2011000688741,0,3,<=40000,4
122,200,2011000690560,0,2,40000+,1
123,200,2011000705997,0,2,40000+,3
124,200,2011000705997,1,2,40000+,2
125,200,2011000706665,0,2,<=40000,2
126,200,2011000715084,0,3,40000+,1
127,200,2011000723765,0,1,40000+,1
128,200,2011000759741,0,2,40000+,2
129,200,2011000759870,0,4+,<=40000,1
130,200,2011000767693,0,2,40000+,2
131,200,2011000768857,0,1,40000+,1
132,200,2011000775934,0,4+,40000+,2
133,200,2011000787621,0,4+,40000+,4
134,200,2011000787817,0,4+,<=40000,1
135,200,2011000791114,0,4+,<=40000,2
136,200,2011000793512,0,2,40000+,2
137,200,2011000807310,0,1,<=40000,0
138,200,2011000808141,0,1,<=40000,1
139,200,2011000817581,0,2,40000+,2
140,200,2011000818218,0,2,<=40000,2
141,200,2011000830666,0,2,<=40000,2
142,200,2011000832512,0,3,40000+,2
143,200,2011000833613,0,1,<=40000,0
144,200,2011000841945,0,2,<=40000,2
145,200,2011000845786,0,2,40000+,2
146,200,2011000847968,0,2,40000+,2
147,200,2011000878008,0,1,40000+,0
148,200,2011000883694,0,1,40000+,0
149,200,2011000883966,0,2,<=40000,2
150,200,2011000887822,0,3,<=40000,3
151,200,2011000897498,0,2,<=40000,4
152,200,2011000898209,0,1,<=40000,2
153,200,2011000898916,0,4+,40000+,2
154,200,2011000907901,0,1,<=40000,1
155,200,2011000908858,0,2,<=40000,3
156,200,2011000924524,0,3,<=40000,1
157,200,2011000969676,0,2,<=40000,2
158,200,2011000974024,0,2,<=40000,2
159,200,2011000974584,0,2,<=40000,2
160,200,2011000986835,0,1,40000+,1
161,200,2011001018926,0,1,40000+,1
162,200,2011001020733,0,3,<=40000,0
163,200,2011001022361,0,4+,<=40000,2
164,200,2011001030524,0,2,<=40000,1
165,200,2011001039935,0,1,<=40000,2
166,200,2011001049745,0,2,<=40000,2
167,200,2011001052457,0,4+,<=40000,3
168,200,2011001054790,0,4+,40000+,2
169,200,2011001054821,0,2,40000+,2
170,200,2011001056573,0,3,<=40000,2
171,200,2011001064242,0,1,40000+,0
172,200,2011001067005,0,1,40000+,0
173,200,2011001072007,0,3,<=40000,2
174,200,2011001072909,0,2,40000+,2
175,200,2011001077062,0,4+,40000+,1
176,200,2011001111883,0,2,<=40000,0
177,200,2011001112958,0,1,40000+,1
178,200,2011001114247,0,3,<=40000,1
179,200,2011001114247,1,3,<=40000,2
180,200,2011001116429,0,2,<=40000,2
181,200,2011001122420,0,2,<=40000,1
182,200,2011001123781,0,2,40000+,1
183,200,2011001124466,0,1,40000+,0
184,200,2011001129246,0,2,40000+,0
185,200,2011001129517,0,3,<=40000,3
186,200,2011001135730,0,2,40000+,0
187,200,2011001136079,0,2,<=40000,2
188,200,2011001142913,0,2,40000+,2
189,200,2011001148996,0,2,<=40000,2
190,200,2011001164348,0,1,<=40000,1
191,200,2011001167189,0,1,<=40000,1
192,200,2011001175119,0,2,40000+,2
193,200,2011001191342,0,2,<=40000,2
194,200,2011001193892,0,4+,<=40000,3
195,200,2011001199426,0,4+,40000+,3
196,200,2011001203063,0,1,40000+,1
197,200,2011001204948,0,4+,<=40000,0
198,200,2011001204948,1,4+,<=40000,2
199,200,2011001207152,0,1,40000+,3
200,200,2011001214890,0,1,40000+,0
201,200,2011001218727,0,1,40000+,1
202,200,2011001219861,0,1,<=40000,0
203,200,2011001228315,0,2,40000+,2
204,200,2011001243673,0,2,40000+,2
205,200,2011001261627,0,2,<=40000,2
206,200,2011001262040,0,2,40000+,1
207,200,2011001275397,0,2,<=40000,2
208,200,2011001279812,0,2,<=40000,2
209,200,2011001284835,0,1,<=40000,0
210,200,2011001287108,0,4+,40000+,3
211,200,2011001305329,0,3,40000+,2
212,200,2011001305568,0,2,40000+,2
213,200,2011001306052,0,2,40000+,2
214,200,2011001309560,0,1,<=40000,1
215,200,2011001316782,0,4+,40000+,1
216,200,2011001318043,0,2,<=40000,3
217,200,2011001321315,0,1,<=40000,1
218,200,2011001322102,0,1,<=40000,1
219,200,2011001323840,0,3,<=40000,2
220,200,2011001324118,0,3,40000+,2
221,200,2011001349997,0,2,40000+,2
222,200,2011001350215,0,1,<=40000,1
223,200,2011001356971,0,2,<=40000,1
224,200,2011001362531,0,3,<=40000,2
225,200,2011001362886,0,3,40000+,2
226,200,2011001364977,0,1,<=40000,0
227,200,2011001366554,0,1,<=40000,1
228,200,2011001369322,0,3,<=40000,0
229,200,2011001373550,0,1,40000+,1
230,200,2011001374427,0,3,<=40000,3
231,200,2011001383450,0,2,40000+,2
232,200,2011001384803,0,4+,40000+,2
233,200,2011001392286,0,4+,<=40000,2
234,200,2011001393039,0,2,40000+,0
235,200,2011001396039,0,1,<=40000,1
236,200,2011001399935,0,2,40000+,2
237,200,2011001406990,0,4+,<=40000,4
238,200,2011001410073,0,1,40000+,1
239,200,2011001410318,0,1,<=40000,3
240,200,2011001417943,0,1,40000+,1
241,200,2011001419985,0,1,<=40000,1
242,200,2011001424626,0,2,<=40000,2
243,200,2011001425665,0,4+,<=40000,1
244,200,2011001429397,0,4+,40000+,1
245,200,2011001436964,0,1,<=40000,1
246,200,2011001438949,0,1,<=40000,0
247,200,2011001480404,0,2,<=40000,2
248,200,2011001481901,0,1,<=40000,1
249,200,2011001485708,0,4+,40000+,3
250,200,2011001490636,0,1,<=40000,1
251,200,2011001497223,0,4+,<=40000,1
252,200,2011001501718,0,1,<=40000,1
253,301,2011000003093,0,4+,40000+,4
254,301,2011000004688,0,1,<=40000,2
255,301,2011000007132,0,1,40000+,1
256,301,2011000008273,0,4+,<=40000,3
257,301,2011000014238,0,1,<=40000,1
258,301,2011000016858,0,4+,40000+,1
259,301,2011000018598,0,1,40000+,0
260,301,2011000018749,0,2,40000+,3
261,301,2011000019061,0,1,<=40000,1
262,301,2011000026513,0,2,<=40000,3
263,301,2011000026513,1,2,<=40000,2
264,301,2011000028406,0,3,<=40000,3
265,301,2011000029859,0,2,40000+,2
266,301,2011000030266,0,3,40000+,2
267,301,2011000046989,0,3,<=40000,0
268,301,2011000050450,0,2,<=40000,2
269,301,2011000051057,0,3,<=40000,4
270,301,2011000051402,0,1,40000+,1
271,301,2011000051402,1,1,40000+,1
272,301,2011000059646,0,2,40000+,3
273,301,2011000070620,0,3,<=40000,2
274,301,2011000072351,0,2,40000+,1
275,301,2011000072599,0,2,<=40000,1
276,301,2011000072599,1,2,<=40000,0
277,301,2011000072599,2,2,<=40000,1
278,301,2011000077754,0,3,40000+,1
279,301,2011000082496,0,2,<=40000,1
